12/25/2023 19:08:53 36.50C, 33.81C, 37.38C, 34.69C, 32.94C, 33.25C
12/25/2023 19:08:55 36.50C, 33.81C, 37.38C, 34.75C, 32.88C, 33.25C
12/25/2023 19:08:58 36.50C, 33.81C, 37.38C, 34.75C, 32.94C, 33.25C
12/25/2023 19:09:00 36.50C, 33.88C, 37.38C, 34.75C, 32.94C, 33.25C
12/25/2023 19:09:03 36.56C, 33.88C, 37.44C, 34.75C, 32.94C, 33.31C
12/25/2023 19:09:05 36.56C, 33.88C, 37.38C, 34.81C, 32.94C, 33.31C
12/25/2023 19:09:07 36.56C, 33.88C, 37.44C, 34.81C, 32.94C, 33.31C
12/25/2023 19:09:10 36.56C, 33.88C, 37.44C, 34.81C, 32.94C, 33.31C
12/25/2023 19:09:12 36.56C, 33.94C, 37.44C, 34.81C, 33.00C, 33.38C
12/25/2023 19:09:15 36.63C, 33.94C, 37.44C, 34.81C, 33.00C, 33.38C
12/25/2023 19:09:17 36.63C, 33.88C, 37.50C, 34.81C, 33.00C, 33.38C
12/25/2023 19:09:20 36.63C, 33.94C, 37.50C, 34.88C, 33.00C, 33.38C
12/25/2023 19:09:22 36.63C, 33.94C, 37.50C, 34.88C, 33.00C, 33.38C
12/25/2023 19:09:24 36.63C, 33.94C, 37.50C, 34.88C, 33.06C, 33.38C
12/25/2023 19:09:27 36.69C, 34.00C, 37.50C, 34.88C, 33.06C, 33.38C
12/25/2023 19:09:29 36.69C, 34.00C, 37.56C, 34.88C, 33.06C, 33.44C
12/25/2023 19:09:32 36.69C, 34.00C, 37.56C, 34.94C, 33.06C, 33.44C
12/25/2023 19:09:34 36.69C, 34.00C, 37.56C, 34.94C, 33.06C, 33.44C
12/25/2023 19:09:37 36.69C, 34.06C, 37.56C, 35.00C, 33.06C, 33.44C
12/25/2023 19:09:39 36.69C, 34.00C, 37.56C, 34.94C, 33.13C, 33.44C
12/25/2023 19:09:41 36.69C, 34.00C, 37.56C, 35.00C, 33.13C, 33.44C
12/25/2023 19:09:44 36.69C, 34.06C, 37.63C, 35.00C, 33.13C, 33.44C
12/25/2023 19:09:46 36.75C, 34.06C, 37.63C, 35.00C, 33.13C, 33.44C
12/25/2023 19:09:49 36.75C, 34.06C, 37.63C, 35.06C, 33.13C, 33.50C
12/25/2023 19:09:51 36.75C, 34.06C, 37.63C, 35.00C, 33.13C, 33.50C
12/25/2023 19:09:53 36.75C, 34.06C, 37.63C, 35.00C, 33.19C, 33.50C
12/25/2023 19:09:56 36.75C, 34.06C, 37.63C, 35.06C, 33.19C, 33.50C
12/25/2023 19:09:58 36.75C, 34.06C, 37.63C, 35.06C, 33.19C, 33.50C
12/25/2023 19:10:01 36.75C, 34.13C, 37.69C, 35.06C, 33.19C, 33.50C
12/25/2023 19:10:03 36.75C, 34.06C, 37.69C, 35.06C, 33.19C, 33.56C
12/25/2023 19:10:06 36.81C, 34.13C, 37.69C, 35.13C, 33.19C, 33.56C
12/25/2023 19:10:08 36.81C, 34.13C, 37.69C, 35.13C, 33.25C, 33.56C
12/25/2023 19:10:10 36.81C, 34.13C, 37.69C, 35.13C, 33.19C, 33.56C
12/25/2023 19:10:13 36.81C, 34.13C, 37.69C, 35.13C, 33.25C, 33.56C
12/25/2023 19:10:15 36.81C, 34.13C, 37.69C, 35.13C, 33.25C, 33.50C
12/25/2023 19:10:18 36.81C, 34.13C, 37.69C, 35.19C, 33.25C, 33.56C
12/25/2023 19:10:20 36.88C, 34.13C, 37.69C, 35.19C, 33.25C, 33.56C
12/25/2023 19:10:22 36.88C, 34.13C, 37.75C, 35.19C, 33.25C, 33.56C
12/25/2023 19:10:25 36.88C, 34.13C, 37.75C, 35.19C, 33.25C, 33.56C
12/25/2023 19:10:27 36.88C, 34.13C, 37.75C, 35.19C, 33.31C, 33.56C
12/25/2023 19:10:30 36.88C, 34.19C, 37.75C, 35.19C, 33.31C, 33.56C
12/25/2023 19:10:32 36.88C, 34.19C, 37.75C, 35.25C, 33.31C, 33.56C
12/25/2023 19:10:35 36.94C, 34.19C, 37.75C, 35.25C, 33.31C, 33.63C
12/25/2023 19:10:37 36.94C, 34.19C, 37.75C, 35.25C, 33.31C, 33.63C
12/25/2023 19:10:39 36.88C, 34.19C, 37.81C, 35.25C, 33.31C, 33.63C
12/25/2023 19:10:42 36.94C, 34.19C, 37.81C, 35.25C, 33.31C, 33.63C
12/25/2023 19:10:44 36.94C, 34.25C, 37.81C, 35.25C, 33.31C, 33.63C
12/25/2023 19:10:47 36.94C, 34.19C, 37.81C, 35.31C, 33.31C, 33.63C
12/25/2023 19:10:49 36.94C, 34.25C, 37.81C, 35.31C, 33.38C, 33.69C
12/25/2023 19:10:51 36.94C, 34.25C, 37.81C, 35.31C, 33.38C, 33.69C
12/25/2023 19:10:54 36.94C, 34.25C, 37.81C, 35.31C, 33.38C, 33.69C
12/25/2023 19:10:56 36.94C, 34.31C, 37.81C, 35.31C, 33.38C, 33.69C
12/25/2023 19:10:59 36.94C, 34.25C, 37.88C, 35.38C, 33.44C, 33.75C
12/25/2023 19:11:01 36.94C, 34.25C, 37.81C, 35.38C, 33.44C, 33.75C
12/25/2023 19:11:04 36.94C, 34.25C, 37.88C, 35.38C, 33.44C, 33.75C
